date,AvgTemp,Country
2019-05-28,76.86666666666666,Mexico
2019-05-29,79.1,Mexico
2019-05-30,78.63333333333333,Mexico
2019-05-31,78.46666666666665,Mexico
2019-06-01,76.06666666666666,Mexico
2019-06-02,76.43333333333332,Mexico
2019-06-03,73.8,Mexico
2019-06-04,73.8,Mexico
2019-06-05,76.06666666666666,Mexico
2019-06-06,75.33333333333334,Mexico
2019-06-07,78.26666666666667,Mexico
2019-06-08,80.76666666666667,Mexico
2019-06-09,78.83333333333333,Mexico
2019-06-10,78.96666666666667,Mexico
2019-06-11,75.10000000000001,Mexico
2019-06-12,74.83333333333333,Mexico
2019-06-13,76.23333333333333,Mexico
2019-06-14,75.7,Mexico
2019-06-15,77.4,Mexico
2019-06-16,75.53333333333335,Mexico
2019-06-17,75.60000000000001,Mexico
2019-06-18,19.333333333333332,Mexico
2019-06-19,18.53333333333333,Mexico
2019-06-20,19.5,Mexico
2019-06-21,78.76666666666667,Mexico
2019-06-22,77.89999999999999,Mexico
2019-06-23,77.76666666666667,Mexico
2019-06-24,76.16666666666667,Mexico
2019-06-25,72.86666666666667,Mexico
2019-06-26,74.03333333333333,Mexico
2019-06-27,75.0,Mexico
2019-06-28,74.5,Mexico
2019-06-29,74.83333333333333,Mexico
2019-06-30,73.66666666666667,Mexico
2019-07-01,72.23333333333333,Mexico
2019-07-02,72.43333333333334,Mexico
2019-07-03,73.33333333333333,Mexico
2019-07-04,76.33333333333333,Mexico
2019-07-05,75.43333333333334,Mexico
2019-07-06,77.0,Mexico
2019-07-07,76.13333333333334,Mexico
2019-07-08,77.66666666666667,Mexico
2019-07-09,18.2,Mexico
2019-07-10,75.73333333333333,Mexico
2019-07-11,75.16666666666667,Mexico
2019-07-12,72.93333333333334,Mexico
2019-07-13,74.83333333333333,Mexico
2019-07-14,74.76666666666667,Mexico
2019-07-15,15.700000000000003,Mexico
2019-07-16,74.13333333333333,Mexico
2019-07-17,74.43333333333334,Mexico
2019-07-18,75.5,Mexico
2019-07-19,74.43333333333332,Mexico
2019-07-20,73.83333333333333,Mexico
2019-07-21,73.13333333333333,Mexico
2019-07-22,73.63333333333333,Mexico
2019-07-23,73.16666666666667,Mexico
2019-07-24,69.2,Mexico
2019-07-25,72.0,Mexico
2019-07-26,71.63333333333333,Mexico
2019-07-27,72.0,Mexico
2019-07-28,73.8,Mexico
2019-07-29,71.63333333333333,Mexico
2019-07-30,73.2,Mexico
2019-07-31,75.23333333333333,Mexico
2019-08-01,75.43333333333334,Mexico
2019-08-02,76.56666666666666,Mexico
2019-08-03,76.89999999999999,Mexico
2019-08-04,77.03333333333333,Mexico
2019-08-05,75.4,Mexico
2019-08-06,75.0,Mexico
2019-08-07,74.3,Mexico
2019-08-08,74.46666666666667,Mexico
2019-08-09,76.06666666666666,Mexico
2019-08-10,76.63333333333334,Mexico
2019-08-11,74.73333333333333,Mexico
2019-08-12,74.63333333333334,Mexico
2019-08-13,77.23333333333333,Mexico
2019-08-14,76.46666666666665,Mexico
2019-08-15,77.76666666666667,Mexico
2019-08-16,77.10000000000001,Mexico
2019-08-17,77.66666666666667,Mexico
2019-08-18,76.16666666666667,Mexico
2019-08-19,77.33333333333333,Mexico
2019-08-20,75.96666666666667,Mexico
2019-08-21,75.26666666666667,Mexico
2019-08-22,76.06666666666666,Mexico
2019-08-23,74.83333333333333,Mexico
2019-08-24,72.36666666666666,Mexico
2019-08-25,73.26666666666667,Mexico
2019-08-26,74.8,Mexico
2019-08-27,74.8,Mexico
2019-08-28,73.06666666666666,Mexico
2019-08-29,73.3,Mexico
2019-08-30,74.3,Mexico
2019-08-31,75.4,Mexico
2019-09-01,73.33333333333333,Mexico
2019-09-02,73.9,Mexico
2019-09-03,72.03333333333335,Mexico
2019-09-04,69.96666666666667,Mexico
2019-09-05,70.93333333333334,Mexico
2019-09-06,73.83333333333333,Mexico
2019-09-07,72.66666666666667,Mexico
2019-09-08,70.46666666666667,Mexico
2019-09-09,70.76666666666667,Mexico
2019-09-10,72.0,Mexico
2019-09-11,71.23333333333333,Mexico
2019-09-12,71.7,Mexico
2019-09-13,70.76666666666667,Mexico
2019-09-14,71.53333333333333,Mexico
2019-09-15,71.89999999999999,Mexico
2019-09-16,72.56666666666666,Mexico
2019-09-17,73.53333333333335,Mexico
2019-09-18,74.03333333333335,Mexico
2019-09-19,73.10000000000001,Mexico
2019-09-20,72.7,Mexico
2019-09-21,72.16666666666666,Mexico
2019-09-22,71.96666666666667,Mexico
2019-09-23,73.76666666666667,Mexico
2019-09-24,73.16666666666667,Mexico
2019-09-25,72.46666666666665,Mexico
2019-09-26,73.39999999999999,Mexico
2019-09-27,73.73333333333333,Mexico
2019-09-28,73.53333333333333,Mexico
2019-09-29,72.33333333333333,Mexico
2019-09-30,69.93333333333334,Mexico
2019-10-01,71.60000000000001,Mexico
2019-10-02,71.83333333333333,Mexico
2019-10-03,70.86666666666666,Mexico
2019-10-04,71.83333333333333,Mexico
2019-10-05,72.63333333333333,Mexico
2019-10-06,72.89999999999999,Mexico
2019-10-07,73.33333333333333,Mexico
2019-10-08,70.53333333333335,Mexico
2019-10-09,72.03333333333332,Mexico
2019-10-10,74.26666666666667,Mexico
2019-10-11,73.7,Mexico
2019-10-12,66.5,Mexico
2019-10-13,68.26666666666667,Mexico
2019-10-14,70.7,Mexico
2019-10-15,73.36666666666666,Mexico
2019-10-16,71.10000000000001,Mexico
2019-10-17,67.56666666666666,Mexico
2019-10-18,68.96666666666667,Mexico
2019-10-19,71.76666666666667,Mexico
2019-10-20,72.23333333333333,Mexico
2019-10-21,70.9,Mexico
2019-10-22,69.76666666666667,Mexico
2019-10-23,67.53333333333335,Mexico
2019-10-24,69.60000000000001,Mexico
2019-10-25,65.3,Mexico
2019-10-26,64.06666666666666,Mexico
2019-10-27,67.16666666666667,Mexico
2019-10-28,66.9,Mexico
2019-10-29,69.2,Mexico
2019-10-30,69.43333333333332,Mexico
2019-10-31,63.06666666666666,Mexico
2019-11-01,61.06666666666666,Mexico
2019-11-02,64.7,Mexico
2019-11-03,62.43333333333334,Mexico
2019-11-04,65.33333333333333,Mexico
2019-11-05,68.3,Mexico
2019-11-06,68.06666666666666,Mexico
2019-11-07,70.23333333333333,Mexico
2019-11-08,65.2,Mexico
2019-11-09,63.366666666666674,Mexico
2019-11-10,65.03333333333335,Mexico
2019-11-11,68.53333333333333,Mexico
2019-11-12,59.5,Mexico
2019-11-13,53.5,Mexico
2019-11-14,59.9,Mexico
2019-11-15,61.23333333333333,Mexico
2019-11-16,5.966666666666666,Mexico
2019-11-17,62.666666666666664,Mexico
2019-11-18,63.73333333333333,Mexico
2019-11-19,65.86666666666666,Mexico
2019-11-20,68.83333333333333,Mexico
2019-11-21,68.06666666666666,Mexico
2019-11-22,68.13333333333333,Mexico
2019-11-23,67.16666666666667,Mexico
2019-11-24,63.13333333333333,Mexico
2019-11-25,66.36666666666667,Mexico
2019-11-26,70.10000000000001,Mexico
2019-11-27,66.7,Mexico
2019-11-28,65.10000000000001,Mexico
2019-11-29,65.16666666666667,Mexico
2019-11-30,70.50000000000001,Mexico
2019-12-01,67.60000000000001,Mexico
2019-12-02,60.6,Mexico
2019-12-03,63.4,Mexico
2019-12-04,64.83333333333333,Mexico
2019-12-05,64.06666666666666,Mexico
2019-12-06,65.43333333333332,Mexico
2019-12-07,61.833333333333336,Mexico
2019-12-08,61.43333333333333,Mexico
2019-12-09,65.0,Mexico
2019-12-10,61.699999999999996,Mexico
2019-12-11,56.76666666666667,Mexico
2019-12-12,57.93333333333334,Mexico
2019-12-13,63.0,Mexico
2019-12-14,64.46666666666667,Mexico
2019-12-15,65.66666666666667,Mexico
2019-12-16,64.83333333333333,Mexico
2019-12-17,57.63333333333333,Mexico
2019-12-18,53.86666666666667,Mexico
2019-12-19,53.599999999999994,Mexico
2019-12-20,58.366666666666674,Mexico
2019-12-21,57.9,Mexico
2019-12-22,54.73333333333333,Mexico
2019-12-23,58.833333333333336,Mexico
2019-12-24,61.166666666666664,Mexico
2019-12-25,63.70000000000001,Mexico
2019-12-26,62.0,Mexico
2019-12-27,62.5,Mexico
2019-12-28,65.33333333333333,Mexico
2019-12-29,62.36666666666667,Mexico
2019-12-30,61.06666666666666,Mexico
2019-12-31,57.76666666666667,Mexico
2020-01-01,60.900000000000006,Mexico
2020-01-02,61.46666666666667,Mexico
2020-01-03,60.06666666666666,Mexico
2020-01-04,57.300000000000004,Mexico
2020-01-05,54.43333333333334,Mexico
2020-01-06,58.73333333333333,Mexico
2020-01-07,59.9,Mexico
2020-01-08,57.43333333333334,Mexico
2020-01-09,61.06666666666666,Mexico
2020-01-10,10.133333333333335,Mexico
2020-01-11,10.766666666666666,Mexico
2020-01-12,58.9,Mexico
2020-01-13,59.9,Mexico
2020-01-14,63.96666666666666,Mexico
2020-01-15,66.43333333333334,Mexico
2020-01-16,66.03333333333333,Mexico
2020-01-17,64.39999999999999,Mexico
2020-01-18,64.16666666666667,Mexico
2020-01-19,60.53333333333333,Mexico
2020-01-20,58.26666666666666,Mexico
2020-01-21,56.300000000000004,Mexico
2020-01-22,59.93333333333334,Mexico
2020-01-23,61.43333333333334,Mexico
2020-01-24,60.666666666666664,Mexico
2020-01-25,61.4,Mexico
2020-01-26,64.2,Mexico
2020-01-27,62.46666666666666,Mexico
2020-01-28,64.03333333333335,Mexico
2020-01-29,61.03333333333334,Mexico
2020-01-30,59.70000000000001,Mexico
2020-01-31,58.06666666666666,Mexico
2020-02-01,59.63333333333333,Mexico
2020-02-02,59.93333333333333,Mexico
2020-02-03,61.03333333333334,Mexico
2020-02-04,63.333333333333336,Mexico
2020-02-05,62.43333333333334,Mexico
2020-02-06,58.833333333333336,Mexico
2020-02-07,60.9,Mexico
2020-02-08,63.73333333333333,Mexico
2020-02-09,65.93333333333334,Mexico
2020-02-10,67.46666666666667,Mexico
2020-02-11,66.63333333333334,Mexico
2020-02-12,61.400000000000006,Mexico
2020-02-13,61.0,Mexico
2020-02-14,60.599999999999994,Mexico
2020-02-15,61.199999999999996,Mexico
2020-02-16,65.83333333333333,Mexico
2020-02-17,68.86666666666666,Mexico
2020-02-18,71.7,Mexico
2020-02-19,67.39999999999999,Mexico
